name,id,avg_household_income,median_income,percent_poverty,per_capita_income
Hinckley village,1735268,92226,62686,3.9,35286
Hindsboro village,1735281,57768,51875,1.4,23624
Hinsdale village,1735307,219246,158563,1.2,71552
Hodgkins village,1735385,75925,48872,8.3,29498
Hoffman Estates village,1735411,99893,76494,2.0,34902
Hoffman village,1735398,54502,38935,0.9,21350
Holiday Hills village,1735515,77683,64554,1.3,30564
Holiday Shores CDP,1735541,86590,72914,1.1,32419
Hollowayville village,1735671,54393,45319,0.2,16836
Homer Glen village,1735835,114305,94626,1.9,38076
Homer village,1735814,90322,60455,3.2,34902
Hometown city,1735866,55437,49203,13.6,23557
Homewood village,1735879,95650,71386,2.7,37412
Hoopeston city,1736061,50765,35299,14.4,21232
Hooppole village,1736074,74434,50701,0.6,27365
Hopedale village,1736126,70013,54273,0.7,28329
Hopewell village,1736150,70162,60333,1.8,26867
Hopkins Park village,1736190,33150,24066,7.5,13359
Hoyleton village,1736347,67435,55727,1.4,24383
Hudson village,1736438,98280,76213,1.1,33687
Huey village,1736477,68147,34304,0.1,26210
Hull village,1736516,56016,34375,2.4,23208
