tract_id,tract_name,pct_female_jobs,pct_male_jobs
1754885,Oak Park village,64.27,35.73
1726987,Forest View village,28.51,71.35
1700178,Adair CDP,21.18,78.82
1753871,Northlake city,36.62,63.38
1722645,Edinburg village,44.29,55.71
1707770,Braidwood city,57.44,42.56
1754404,Norwood village,39.56,60.44
1705209,Benld city,47.85,52.15
1738531,Johnsonville village,60.0,40.0
1703675,Bardolph village,20.79,79.21
1751349,Mundelein village,44.33,55.67
1780762,West Point village,62.16,37.84
1715235,Coal Valley village,45.3,54.49
1718563,Danville city,51.63,48.37
1779007,Washburn village,46.85,53.15
1704247,Baylis village,52.0,48.0
1755132,Oconee village,57.89,42.11
1752584,New Lenox village,46.17,53.81
1755912,Olney city,59.17,40.83
1716613,Coulterville village,67.74,32.26
1703181,Aviston village,46.59,53.41
1759000,Peoria city,56.39,43.61
1748424,Meredosia village,37.7,62.3
1778526,Walnut village,46.18,53.82
1703103,Ava city,31.35,68.11
1779124,Wataga village,48.5,51.5
1702921,Auburn city,52.01,48.11
1703454,Baldwin village,24.68,75.32
1702102,Arlington village,41.86,60.47
1721696,East Dundee village,40.24,59.72
1757160,Paderborn CDP,42.86,57.14
1702583,Ashton village,41.52,58.48
1712294,Chadwick village,42.97,57.03
1712476,Channahon village,29.74,70.23
1772000,Springfield city,55.05,44.95
1705599,Bethalto village,52.46,47.59
1708264,Brighton village,54.7,44.6
1782322,Windsor city,46.67,53.33
1782491,Winnebago village,54.86,44.98
1722931,Elburn village,41.21,58.79
1747553,Mattoon city,54.01,45.99
1747007,Markham city,41.56,58.44
1745889,Macomb city,58.57,41.46
1764421,Riverside village,57.97,42.07
1743666,Lincolnshire village,48.3,51.69
1776160,Trout Valley village,48.77,51.23
1772468,Steeleville village,39.76,60.24
1766950,St. Joseph village,53.49,46.51
1705443,Berlin village,40.54,59.46
1712879,Chemung CDP,33.93,64.29
1771175,South Pekin village,41.97,58.03
1717497,Crestwood village,50.11,49.89
1710110,Bushnell city,42.49,57.61
1750751,Mound City city,49.77,50.23
1761639,Prairie du Rocher village,35.0,63.75
1768081,Schiller Park village,36.53,63.47
1739532,Kenney village,41.67,66.67
1741326,Lakemoor village,45.98,54.02
1720123,Dix village,41.18,58.82
1757576,Papineau village,38.1,61.9
1768640,Seneca village,37.65,62.5
1730445,Goodfield village,22.8,77.2
1734722,Highland Park city,55.6,44.39
1741742,Lake Zurich village,50.4,49.62
1724699,Exeter village,41.67,66.67
1739753,Keyesport village,52.22,47.78
1704507,Beaverville village,37.78,62.22
1738934,Kankakee city,60.41,39.58
1728261,Galatia village,54.94,45.06
1748359,Menominee village,33.33,66.67
1736841,Hutsonville village,45.61,54.39
1777694,Vernon Hills village,50.28,49.71
1749516,Mineral village,41.03,58.97
1728612,Garden Prairie village,30.67,69.33
1724933,Fairmont City village,30.72,69.5
1701361,Anchor village,57.14,39.29
1711644,Caseyville village,44.84,55.16
1777187,Valley City village,50.0,50.0
1742080,La Prairie village,54.55,45.45
1720305,Dongola village,40.91,59.09
1751024,Mount Olive city,35.38,64.62
1711462,Carrollton city,62.17,37.98
1711397,Carrier Mills village,52.55,47.13
1744264,Loda village,28.07,73.68
1710422,Caledonia village,42.86,42.86
1707744,Bradley village,49.39,50.62
1726311,Flanagan village,58.7,41.3
1705274,Bentley town,57.14,42.86
1703844,Barrington village,52.51,47.51
1736150,Hopewell village,42.86,57.14
1751622,Naperville city,53.5,46.5
1751336,Muncie village,50.0,45.45
1722255,East St. Louis city,52.38,47.62
1705300,Benton city,52.02,47.98
1718771,Dayton CDP,49.2,51.03
1756237,Oquawka village,59.6,40.4
1783336,Woodson village,31.25,68.75
1766053,Round Lake Heights village,50.0,49.38
1707237,Bonfield village,24.24,72.73
1752220,New Boston city,51.06,48.94
1703207,Avon village,59.02,41.8
1763706,Richton Park village,53.46,46.54
1772923,Stone Park village,39.62,60.46
1783206,Woodlawn village,43.28,56.72
1755639,Old Mill Creek village,48.78,46.34
1727689,Franklin Grove village,49.5,50.5
