tract_id,tract_name,male_wf,male_emp,pct_male_emp,female_wf,female_emp,pct_female_emp,total_wf,total_emp,pct_total_emp
17197883504,17197883504,2151,1300,60.44,2272,1042,45.86,4423,2342,52.95
17109010900,17109010900,1091,767,70.3,1167,818,70.09,2258,1585,70.19
17161024500,17161024500,828,637,76.93,919,436,47.44,1747,1073,61.42
17197883509,17197883509,1708,1278,74.82,1730,1027,59.36,3438,2305,67.04
17031420100,17031420100,456,324,71.05,678,301,44.4,1134,625,55.11
17097864505,17097864505,2459,1925,78.28,2884,1609,55.79,5344,3535,66.15
17031834700,17031834700,667,143,21.44,895,296,33.07,1562,439,28.1
17091010702,17091010702,2352,1519,64.58,3326,1860,55.92,5678,3377,59.48
17091010701,17091010701,1629,1030,63.23,1690,927,54.85,3319,1957,58.96
17031832500,17031832500,1540,1010,65.58,1587,953,60.05,3127,1963,62.78
17031813200,17031813200,1413,951,67.3,1787,1341,75.04,3200,2292,71.63
17031720700,17031720700,1119,717,64.08,1446,935,64.66,2565,1652,64.41
17163503100,17163503100,2842,1408,49.54,3267,2063,63.15,6107,3472,56.85
17019005800,17019005800,1803,1029,57.07,2030,1221,60.15,3833,2250,58.7
17201002600,17201002600,1492,119,7.98,1127,412,36.56,2619,531,20.27
17171970600,17171970600,742,475,64.02,723,403,55.74,1463,877,59.95
17031829200,17031829200,2149,1214,56.49,2265,1198,52.89,4414,2412,54.64
17199020800,17199020800,2836,1393,49.12,2544,1377,54.13,5381,2771,51.5
17161022900,17161022900,1100,813,73.91,1154,671,58.15,2254,1484,65.84
17169970100,17169970100,1026,704,68.62,895,389,43.46,1921,1094,56.95
17197881302,17197881302,829,399,48.13,510,261,51.18,1339,660,49.29
17089854400,17089854400,4706,3298,70.08,5483,2891,52.73,10189,6188,60.73
17031191301,17031191301,2009,1351,67.25,1941,757,39.0,3950,2108,53.37
17031191302,17031191302,1817,1179,64.89,1762,907,51.48,3579,2086,58.28
17031440300,17031440300,1588,673,42.38,2475,1196,48.32,4063,1869,46.0
17049950800,17049950800,1762,1105,62.71,1688,947,56.1,3450,2052,59.48
17091010601,17091010601,1819,979,53.82,2139,1293,60.45,3958,2272,57.4
17043841902,17043841902,1651,940,56.94,1916,1129,58.92,3567,2069,58.0
17149952600,17149952600,1295,801,61.85,1278,630,49.3,2573,1431,55.62
17043841901,17043841901,955,707,74.03,926,517,55.83,1879,1225,65.19
17031834600,17031834600,1313,246,18.74,1559,518,33.23,2872,764,26.6
17031813301,17031813301,1274,890,69.86,1073,594,55.36,2347,1484,63.23
17197881108,17197881108,2337,1751,74.93,2649,1437,54.25,4985,3188,63.95
17197881109,17197881109,1479,1044,70.59,1732,1109,64.03,3211,2153,67.05
17031802702,17031802702,1803,1125,62.4,1970,1044,52.99,3773,2169,57.49
17031062200,17031062200,1275,1154,90.51,1352,1083,80.1,2627,2237,85.15
17031802701,17031802701,2728,1827,66.97,2681,1486,55.43,5409,3313,61.25
